Usuario,Periodo,Comentario,ODSEW-ShBeI-hWJfub-yHKmmc-tv6Bve-hidden,ODSEW-ShBeI-hWJfub-yHKmmc-NnAfwf,uEubGf,bC3Nkc
Benjamin ramirez,a month ago,"Mande un pedido a las 1pm y llamo a las 15 a ver que sucede y me dicen que recién lo están preparando, lo encuentro inaudito …",,,,
Hernan david Rodriguez montes,a month ago,"Weno

(Translated by Google)
Weno",,,,
Benja Enterteiment,a month ago,"Pizzas exquisitas pero sistema complicado y molesto.

(Translated by Google) …",,,,
Cesar,3 months ago,"Vi hartos comentarios terribles, pero al almuerzo la atención fue excelente, meseros atentos y muy rápido. La cómida, especialmente el tiramisu, bastante buena. …",,,,
marcelo correa,4 months ago,,,,,
Issan Chile,4 months ago,No había un mesero fijo para cada mesa. Venía cualquiera y todos decían indicaciones diferentes para hacer valido el canje de puntos CMR. Comida aceptable: Salmón a la plancha buena porción y gnocchi porción pequeña. El mojito era puro …,Like,1,,
Federico Clerici,5 months ago,"Rápida atención y llegó rápida y caliente l comida, en mi caso no fue abundante pero estaba bien para la calidad y precio. Recomendable. …",,,,
Luis Silva Bravo,5 months ago,"Comida muy rica y abundante, buenos precios y excelente atención

(Translated by Google) …",,,,
La maravillosa Julie,5 months ago,"La lasaña orrible es como si alguien vómito lo comió vómito y volvio a comer y el jugo de mango estaba diluido con leche, la atención pésima se equivocaron 3 veces con mi pedido y prefiero comer mil veces nada que ir a este restaurante a si …",Like,1,,
Daniela Villegas,5 months ago,"Pésima la comida, la lasagna salada, con un jamón pésimo el pesto malo, estaba hecho con cualquier cosa menos albahaca. Mal mal …",Like,1,,
,,,,,,
,,,,,,
,,,,,All,
,,,,,pizza,11
,,,,,lasagna,8
,,,,,pasta,7
,,,,,price,5
,,,,,quality,4
,,,,,dishes,4
,,,,,kitchen,3
,,,,,pesto,3
,,,,,cold,3
,,,,,lemon,3
,,,,,+6,
Rodolfo Bórquez,5 months ago,,,,,
Yasmin Castellanos,7 months ago,"Atención rápida, buenas porciones, precios acordes.

(Translated by Google) …",,,,
